date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:13:00	304/304	---M--	200	added ('OK')	text/html	etag:%223c6d59cc242acb11f09f8762ff47651d%22	https://supercell.com/	/storage/emulated/0/HTTrack/Websites/Supercell/supercell.com/index.html	(from )
17:13:01	66/66	---M--	200	added ('OK')	text/plain	etag:%220eaf4514458d17b3a1c8cf081ce7cff1%22	https://supercell.com/robots.txt		(from )
17:13:01	10977/10977	---M--	404	error ('Not%20Found')	text/html	etag:%224b590647c371e5f1c2fe3105d77d03f1%22	https://supercell.com/'/en/'	/storage/emulated/0/HTTrack/Websites/Supercell/supercell.com/'/en/'	(from https://supercell.com/)
17:13:03	23842/23842	---M--	200	added ('OK')	text/html	etag:%2250af7fcde9c65364f2cb3fab7fba7774%22	https://supercell.com/en/	/storage/emulated/0/HTTrack/Websites/Supercell/supercell.com/en/index.html	(from https://supercell.com/)
17:13:04	514606/514606	---M--	200	added ('OK')	image/png	etag:%22a888eae369b8c1563f832811144f5a8a%22	https://cdn.supercell.com/supercell.com/200703105203/supercell.com/files/og_mainpage.png	/storage/emulated/0/HTTrack/Websites/Supercell/cdn.supercell.com/supercell.com/200703105203/supercell.com/files/og_mainpage.png	(from https://supercell.com/en/)
17:13:06	445690/445690	---M--	200	added ('OK')	image/png	etag:%227b17202ba0ab7da88eb50ac7a33e1a75%22	https://cdn.supercell.com/supercell.com/200703105203/supercell.com/files/twitter_mainpage.png	/storage/emulated/0/HTTrack/Websites/Supercell/cdn.supercell.com/supercell.com/200703105203/supercell.com/files/twitter_mainpage.png	(from https://supercell.com/en/)
17:13:06	2859/2859	---M--	200	added ('OK')	image/png	etag:%220002772190e79cd2ef7bfd9ab90c29e6%22	https://cdn.supercell.com/brand/favicon/apple-touch-icon.png	/storage/emulated/0/HTTrack/Websites/Supercell/cdn.supercell.com/brand/favicon/apple-touch-icon.png	(from https://supercell.com/en/)
17:13:06	912/912	---M--	200	added ('OK')	image/png	etag:%22525e9c35582ce2760c91b9db1078c4cc%22	https://cdn.supercell.com/brand/favicon/favicon-32x32.png	/storage/emulated/0/HTTrack/Websites/Supercell/cdn.supercell.com/brand/favicon/favicon-32x32.png	(from https://supercell.com/en/)
17:13:08	539/539	---M--	200	added ('OK')	image/png	etag:%22df872f2ae73985fa19236da383f8f681%22	https://cdn.supercell.com/brand/favicon/favicon-16x16.png	/storage/emulated/0/HTTrack/Websites/Supercell/cdn.supercell.com/brand/favicon/favicon-16x16.png	(from https://supercell.com/en/)
17:13:08	539360/539360	---M--	200	added ('OK')	text/css	etag:%22f007e7fe949721a6e25670930c0740e3%22	https://cdn.supercell.com/supercell.com/200703105203/supercell.com/files/css/css_Zs9bCoTHqpM1FxMpZFAb6_7IC2hkp6-Xhq8lRWaUzFQ.css	/storage/emulated/0/HTTrack/Websites/Supercell/cdn.supercell.com/supercell.com/200703105203/supercell.com/files/css/css_Zs9bCoTHqpM1FxMpZFAb6_7IC2hkp6-Xhq8lRWaUzFQ.css	(from https://supercell.com/en/)
17:13:11	6449/6449	---M--	200	added ('OK')	text/javascript	etag:%22d257c1aa8c970f98ed8c43a98785fd31%22	https://cdn.supercell.com/supercell.com/200703105203/all/themes/supercell/js/modernizr.custom.26255.js	/storage/emulated/0/HTTrack/Websites/Supercell/cdn.supercell.com/supercell.com/200703105203/all/themes/supercell/js/modernizr.custom.26255.js	(from https://supercell.com/en/)
17:13:11	54992/54992	---M--	200	added ('OK')	image/jpeg	etag:%22525a56e60c2c7f66b6c43e3289744087%22	https://cdn.supercell.com/supercell.com/200703105203/supercell.com/files/styles/hero_image_narrow/public/bg_hero_frontpage.jpg?itok=Rh0Alt13&timestamp=1544480104	/storage/emulated/0/HTTrack/Websites/Supercell/cdn.supercell.com/supercell.com/200703105203/supercell.com/files/styles/hero_image_narrow/public/bg_hero_frontpage13ba.jpg	(from https://supercell.com/en/)
17:13:13	195125/195125	---M--	200	added ('OK')	image/jpeg	etag:%22ddd53ec85bc351fa496452dc88cd07e8%22	https://cdn.supercell.com/supercell.com/200703105203/supercell.com/files/styles/hero_image_narrow/public/news_thumbnail_brawleveryone.jpg?itok=p2olAE4x&timestamp=1593769015	/storage/emulated/0/HTTrack/Websites/Supercell/cdn.supercell.com/supercell.com/200703105203/supercell.com/files/styles/hero_image_narrow/public/news_thumbnail_brawleveryone0f41.jpg	(from https://supercell.com/en/)
17:13:13	21605/21605	---M--	200	added ('OK')	text/html	etag:%226a338b354235f8d8f4e1b3abbed4096b%22	https://supercell.com/en/games/	/storage/emulated/0/HTTrack/Websites/Supercell/supercell.com/en/games/index.html	(from https://supercell.com/en/)
